         30372981 function calls (30365541 primitive calls) in 35.662 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    59996    0.067    0.000    0.087    0.000 C:\Users\hjmne\PycharmProjects\chest\bookkeeping.py:82(schedule_event)
   159610    0.074    0.000    0.085    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\construction.py:416(extract_array)
      418    0.003    0.000    0.077    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:869(take)
   159192    0.076    0.000    0.076    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexes\base.py:831(_reset_identity)
   637813    0.064    0.000    0.065    0.000 {built-in method builtins.hasattr}
   239984    0.061    0.000    0.061    0.000 {method 'toordinal' of 'datetime.date' objects}
       73    0.001    0.000    0.061    0.001 C:\Users\hjmne\PycharmProjects\chest\bookkeeping.py:695(load_investment_info)
      418    0.003    0.000    0.057    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:6192(_construct_result)
   162338    0.056    0.000    0.056    0.000 {built-in method builtins.hash}
   638032    0.055    0.000    0.055    0.000 {built-in method builtins.issubclass}
   159610    0.055    0.000    0.055    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\common.py:529(is_string_or_object_np_dtype)
   158774    0.054    0.000    0.054    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arrays\datetimelike.py:2146(_creso)
      418    0.003    0.000    0.052    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\array_ops.py:288(comparison_op)
       73    0.006    0.000    0.048    0.001 C:\Users\hjmne\PycharmProjects\chest\utilities.py:278(fetch_investment_master)
   158774    0.047    0.000    0.047    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arrays\datetimelike.py:2061(_maybe_pin_freq)
389930/383846    0.045    0.000    0.047    0.000 {built-in method builtins.len}
